source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,10
0,13
0,18
0,21
0,25
0,41
0,43
0,49
0,53
0,54
0,62
0,67
0,68
0,74
0,94
0,95
1,0
1,5
1,8
1,12
1,31
1,32
1,43
1,47
1,51
1,69
1,70
1,94
2,0
2,4
2,6
3,0
3,4
3,13
3,14
3,18
3,19
3,27
3,29
3,34
3,36
3,44
3,46
3,50
3,65
3,75
3,78
3,81
3,86
3,96
4,0
4,2
4,3
4,5
4,9
4,10
4,11
4,12
4,16
4,20
4,21
4,25
4,29
4,30
4,34
4,37
4,38
4,52
4,55
4,56
4,58
4,62
4,67
4,69
4,72
4,74
4,78
4,84
4,85
4,93
5,0
5,1
5,4
5,6
5,7
5,8
5,9
5,11
5,15
5,16
5,17
5,18
5,20
5,23
5,24
5,31
5,33
5,38
5,44
5,56
5,71
5,72
5,79
5,80
5,83
5,85
5,86
5,91
6,0
6,2
6,5
6,7
6,8
6,11
6,12
6,13
6,24
6,26
6,28
6,39
6,40
6,43
6,45
6,46
6,51
6,57
6,64
6,66
6,76
6,77
6,83
6,91
6,93
6,99
7,0
7,5
7,6
7,9
7,10
7,14
7,15
7,19
7,20
7,21
7,25
7,30
7,33
7,41
7,44
7,49
7,56
7,58
7,64
7,74
7,82
7,86
7,87
8,1
8,5
8,6
8,14
8,22
8,35
8,39
8,58
8,61
8,71
8,80
8,83
8,88
9,4
9,5
9,7
9,26
9,42
9,57
10,0
10,4
10,7
10,17
10,19
10,23
10,24
10,40
10,48
10,53
10,60
10,63
10,66
10,95
10,98
11,4
11,5
11,6
11,90
12,1
12,4
12,6
12,15
12,22
12,29
12,46
12,47
12,50
12,51
12,55
12,68
12,97
12,98
12,99
13,0
13,3
13,6
13,35
13,59
13,79
13,97
14,8
14,3
14,7
14,16
14,17
14,27
14,30
14,32
14,48
14,59
14,87
15,12
15,5
15,7
15,89
16,4
16,5
16,14
16,22
16,28
16,48
16,53
16,61
16,66
17,10
17,5
17,14
18,0
18,3
18,5
18,88
18,91
19,10
19,3
19,7
19,33
19,52
19,76
19,90
20,4
20,5
20,7
20,23
20,73
21,0
21,4
21,7
21,69
22,8
22,16
22,12
22,27
22,31
22,34
22,45
22,68
22,71
22,92
22,93
23,10
23,20
23,5
23,57
23,76
24,10
24,5
24,6
24,39
25,0
25,4
25,7
25,26
25,36
25,45
25,47
25,60
25,65
25,82
25,84
26,25
26,6
26,9
26,28
26,36
26,73
26,88
27,3
27,22
27,14
27,37
27,38
27,80
28,16
28,26
28,6
29,3
29,4
29,12
29,42
29,63
29,70
30,4
30,14
30,7
30,32
30,54
31,1
31,5
31,22
31,67
31,84
32,1
32,14
32,30
33,19
33,5
33,7
33,55
34,3
34,4
34,22
34,35
34,37
34,40
34,52
34,63
34,64
35,8
35,34
35,13
36,25
36,26
36,3
36,42
37,34
37,27
37,4
37,78
38,27
38,4
38,5
39,8
39,24
39,6
39,41
39,79
40,10
40,34
40,6
41,0
41,7
41,39
41,49
41,65
42,9
42,36
42,29
42,81
43,0
43,1
43,6
43,59
44,3
44,5
44,7
44,54
45,25
45,6
45,22
45,50
45,89
46,3
46,12
46,6
46,72
46,92
47,25
47,12
47,1
48,16
48,10
48,14
48,87
49,0
49,41
49,7
49,60
49,73
50,3
50,12
50,45
51,1
51,12
51,6
51,75
51,96
52,34
52,19
52,4
53,16
53,0
53,10
53,97
54,0
54,44
54,30
54,61
55,33
55,4
55,12
56,4
56,5
56,7
56,70
56,99
57,9
57,6
57,23
58,8
58,4
58,7
58,82
59,43
59,13
59,14
60,49
60,10
60,25
61,16
61,8
61,54
61,62
62,0
62,4
62,61
63,34
63,10
63,29
64,34
64,6
64,7
64,75
65,25
65,3
65,41
66,16
66,10
66,6
67,0
67,4
67,31
67,94
68,0
68,12
68,22
69,1
69,4
69,21
69,77
69,95
70,56
70,1
70,29
71,8
71,5
71,22
71,77
72,4
72,5
72,46
73,49
73,26
73,20
74,0
74,4
74,7
75,64
75,51
75,3
76,19
76,6
76,23
76,81
76,85
77,69
77,6
77,71
78,3
78,4
78,37
78,90
79,13
79,5
79,39
80,8
80,27
80,5
80,96
81,42
81,3
81,76
81,89
82,25
82,58
82,7
83,8
83,5
83,6
84,25
84,4
84,31
85,4
85,76
85,5
85,92
86,3
86,5
86,7
87,48
87,14
87,7
88,8
88,18
88,26
89,81
89,45
89,15
90,11
90,19
90,78
91,18
91,5
91,6
92,46
92,85
92,22
93,4
93,6
93,22
94,0
94,1
94,67
95,0
95,10
95,69
95,98
96,80
96,3
96,51
97,53
97,12
97,13
98,10
98,12
98,95
99,56
99,12
99,6
